_step,epoch,ACC,DEO,DAO,run_id,name,group,seed,alpha_fixed
27,28,0.725,0.09499999999999997,0.04749999999999999,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
28,29,0.72,0.08499999999999996,0.04249999999999998,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
29,30,0.725,0.08499999999999996,0.0675,m7jb2aws,baseline_german_gender_seed1,Baseline,1,
0,1,0.68,0.04500000000000004,0.16000000000000003,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
1,2,0.73,0.030000000000000027,0.1275,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
2,3,0.73,0.0,0.07500000000000001,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
3,4,0.74,0.0,0.09999999999999998,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
4,5,0.74,0.025000000000000022,0.125,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
5,6,0.735,0.0050000000000000044,0.08999999999999997,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
6,7,0.73,0.04499999999999993,0.05999999999999994,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
7,8,0.715,0.025000000000000022,0.06250000000000006,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
8,9,0.725,0.0,0.024999999999999967,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
9,10,0.725,0.030000000000000027,0.027500000000000024,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
10,11,0.72,0.06000000000000005,0.06750000000000006,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
11,12,0.715,0.03500000000000003,0.05500000000000005,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
12,13,0.715,0.020000000000000018,0.07250000000000001,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
13,14,0.715,0.0050000000000000044,0.03999999999999998,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
14,15,0.72,0.0050000000000000044,0.05249999999999999,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
15,16,0.725,0.015000000000000013,0.057499999999999996,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
16,17,0.715,0.029999999999999916,0.06499999999999995,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
17,18,0.715,0.029999999999999916,0.06499999999999995,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
18,19,0.715,0.029999999999999916,0.06499999999999995,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
19,20,0.73,0.0050000000000000044,0.040000000000000036,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
20,21,0.72,0.019999999999999907,0.04749999999999999,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
21,22,0.715,0.010000000000000009,0.04250000000000004,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
22,23,0.715,0.0,0.012500000000000011,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
23,24,0.72,0.014999999999999902,0.007499999999999951,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
24,25,0.725,0.0050000000000000044,0.0025000000000000022,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
25,26,0.725,0.0050000000000000044,0.0025000000000000022,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
26,27,0.73,0.0050000000000000044,0.0025000000000000022,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
27,28,0.73,0.0050000000000000044,0.0025000000000000022,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
28,29,0.73,0.0050000000000000044,0.0025000000000000022,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
29,30,0.73,0.0050000000000000044,0.0025000000000000022,pl1bod6l,baseline_german_gender_seed6,Baseline,6,
0,1,0.455,0.16000000000000003,0.08000000000000002,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
1,2,0.565,0.010000000000000009,0.030000000000000027,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
2,3,0.65,0.08500000000000008,0.11750000000000005,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
3,4,0.695,0.07999999999999996,0.10249999999999998,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
4,5,0.705,0.040000000000000036,0.07,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
5,6,0.705,0.040000000000000036,0.07,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
6,7,0.69,0.06000000000000005,0.05499999999999999,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
7,8,0.69,0.019999999999999907,0.07249999999999995,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
8,9,0.675,0.015000000000000013,0.07,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
9,10,0.655,0.0050000000000000044,0.05249999999999999,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
10,11,0.665,0.030000000000000027,0.065,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
11,12,0.66,0.03500000000000003,0.08000000000000002,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
12,13,0.67,0.06999999999999995,0.10999999999999999,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
13,14,0.68,0.06999999999999995,0.1225,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
14,15,0.675,0.06999999999999995,0.135,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
15,16,0.68,0.06999999999999995,0.1225,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
16,17,0.68,0.06999999999999995,0.15999999999999998,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
17,18,0.695,0.07999999999999996,0.13999999999999996,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
18,19,0.695,0.07999999999999996,0.13999999999999996,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
19,20,0.705,0.07999999999999996,0.11499999999999994,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
20,21,0.71,0.10499999999999998,0.10249999999999998,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
21,22,0.715,0.10499999999999998,0.08999999999999997,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
22,23,0.735,0.10499999999999998,0.07750000000000001,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
23,24,0.725,0.12,0.07250000000000001,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
24,25,0.725,0.12,0.07250000000000001,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
25,26,0.725,0.12,0.07250000000000001,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
26,27,0.73,0.10499999999999998,0.05249999999999999,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
27,28,0.735,0.10499999999999998,0.065,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
28,29,0.74,0.10499999999999998,0.07750000000000001,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
29,30,0.73,0.09499999999999997,0.06,8rkzisvv,baseline_german_gender_seed5,Baseline,5,
0,1,0.69,0.0050000000000000044,0.015000000000000013,2sr171kw,baseline_german_gender_seed9,Baseline,9,
1,2,0.695,0.0050000000000000044,0.027500000000000024,2sr171kw,baseline_german_gender_seed9,Baseline,9,
2,3,0.69,0.06499999999999995,0.057499999999999996,2sr171kw,baseline_german_gender_seed9,Baseline,9,
3,4,0.705,0.06499999999999995,0.05749999999999994,2sr171kw,baseline_german_gender_seed9,Baseline,9,
4,5,0.695,0.06999999999999995,0.034999999999999976,2sr171kw,baseline_german_gender_seed9,Baseline,9,
5,6,0.685,0.04999999999999993,0.024999999999999967,2sr171kw,baseline_german_gender_seed9,Baseline,9,
6,7,0.7,0.05999999999999994,0.04249999999999998,2sr171kw,baseline_german_gender_seed9,Baseline,9,
7,8,0.71,0.05999999999999994,0.04249999999999998,2sr171kw,baseline_german_gender_seed9,Baseline,9,
8,9,0.715,0.05999999999999994,0.04249999999999993,2sr171kw,baseline_german_gender_seed9,Baseline,9,
9,10,0.705,0.039999999999999925,0.03249999999999992,2sr171kw,baseline_german_gender_seed9,Baseline,9,
10,11,0.715,0.030000000000000027,0.06500000000000006,2sr171kw,baseline_german_gender_seed9,Baseline,9,
11,12,0.72,0.030000000000000027,0.05250000000000005,2sr171kw,baseline_german_gender_seed9,Baseline,9,
12,13,0.74,0.05500000000000005,0.05249999999999999,2sr171kw,baseline_german_gender_seed9,Baseline,9,
13,14,0.75,0.05500000000000005,0.040000000000000036,2sr171kw,baseline_german_gender_seed9,Baseline,9,
14,15,0.745,0.04500000000000004,0.03500000000000003,2sr171kw,baseline_german_gender_seed9,Baseline,9,
15,16,0.735,0.025000000000000022,0.025000000000000022,2sr171kw,baseline_german_gender_seed9,Baseline,9,
16,17,0.74,0.025000000000000022,0.03750000000000003,2sr171kw,baseline_german_gender_seed9,Baseline,9,
17,18,0.735,0.040000000000000036,0.05750000000000005,2sr171kw,baseline_german_gender_seed9,Baseline,9,
18,19,0.745,0.040000000000000036,0.044999999999999984,2sr171kw,baseline_german_gender_seed9,Baseline,9,
19,20,0.745,0.06500000000000006,0.03250000000000003,2sr171kw,baseline_german_gender_seed9,Baseline,9,
20,21,0.75,0.05500000000000005,0.05250000000000005,2sr171kw,baseline_german_gender_seed9,Baseline,9,
21,22,0.74,0.09499999999999997,0.08500000000000002,2sr171kw,baseline_german_gender_seed9,Baseline,9,
22,23,0.73,0.07499999999999996,0.07500000000000001,2sr171kw,baseline_german_gender_seed9,Baseline,9,
23,24,0.74,0.09499999999999997,0.08500000000000002,2sr171kw,baseline_german_gender_seed9,Baseline,9,
24,25,0.74,0.09499999999999997,0.08500000000000002,2sr171kw,baseline_german_gender_seed9,Baseline,9,
25,26,0.745,0.09499999999999997,0.0975,2sr171kw,baseline_german_gender_seed9,Baseline,9,
26,27,0.74,0.08499999999999996,0.0925,2sr171kw,baseline_german_gender_seed9,Baseline,9,
27,28,0.74,0.08499999999999996,0.0925,2sr171kw,baseline_german_gender_seed9,Baseline,9,
28,29,0.735,0.10999999999999999,0.10500000000000001,2sr171kw,baseline_german_gender_seed9,Baseline,9,
29,30,0.725,0.125,0.11250000000000002,2sr171kw,baseline_german_gender_seed9,Baseline,9,
0,1,0.525,0.04499999999999993,0.09749999999999998,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
1,2,0.62,0.029999999999999916,0.014999999999999958,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
2,3,0.675,0.04999999999999993,0.03749999999999992,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
3,4,0.69,0.015000000000000013,0.007500000000000007,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
4,5,0.695,0.010000000000000009,0.0050000000000000044,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
5,6,0.695,0.010000000000000009,0.0050000000000000044,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
6,7,0.705,0.0,0.012500000000000011,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
7,8,0.71,0.0,0.012500000000000011,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
8,9,0.705,0.015000000000000013,0.007500000000000007,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
9,10,0.715,0.0050000000000000044,0.0025000000000000022,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
10,11,0.73,0.0050000000000000044,0.0025000000000000022,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
11,12,0.73,0.025000000000000022,0.012500000000000011,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
12,13,0.725,0.039999999999999925,0.057499999999999996,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
13,14,0.73,0.010000000000000009,0.05499999999999999,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
14,15,0.73,0.0,0.0625,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
15,16,0.725,0.015000000000000013,0.044999999999999984,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
16,17,0.72,0.030000000000000027,0.027500000000000024,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
17,18,0.715,0.05500000000000005,0.040000000000000036,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
18,19,0.73,0.05500000000000005,0.07750000000000001,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
19,20,0.725,0.06999999999999995,0.05999999999999994,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
20,21,0.725,0.06999999999999995,0.05999999999999994,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
21,22,0.73,0.05999999999999994,0.05499999999999999,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
22,23,0.735,0.05999999999999994,0.04249999999999998,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
23,24,0.74,0.05999999999999994,0.02999999999999997,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
24,25,0.745,0.05999999999999994,0.04249999999999998,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
25,26,0.74,0.08499999999999996,0.05499999999999999,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
26,27,0.74,0.07499999999999996,0.06249999999999997,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
27,28,0.74,0.07499999999999996,0.06249999999999997,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
28,29,0.74,0.07499999999999996,0.06249999999999997,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
29,30,0.74,0.07499999999999996,0.06249999999999997,ig3p8pnz,baseline_german_gender_seed0,Baseline,0,
0,1,0.57,0.17999999999999994,0.11499999999999994,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
1,2,0.625,0.09999999999999998,0.07499999999999996,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
2,3,0.665,0.04500000000000004,0.02250000000000002,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
3,4,0.695,0.04499999999999993,0.04749999999999993,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
4,5,0.7,0.010000000000000009,0.04249999999999998,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
5,6,0.72,0.0,0.0625,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
6,7,0.725,0.0050000000000000044,0.07750000000000001,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
7,8,0.74,0.010000000000000009,0.08000000000000002,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
8,9,0.74,0.07000000000000006,0.08500000000000002,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
9,10,0.745,0.06000000000000005,0.06750000000000006,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
10,11,0.745,0.040000000000000036,0.044999999999999984,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
11,12,0.74,0.030000000000000027,0.03999999999999998,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
12,13,0.73,0.010000000000000009,0.02999999999999997,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
13,14,0.73,0.010000000000000009,0.02999999999999997,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
14,15,0.725,0.0,0.024999999999999967,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
15,16,0.725,0.0,0.024999999999999967,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
16,17,0.725,0.0,0.024999999999999967,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
17,18,0.73,0.0,0.03749999999999998,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
18,19,0.725,0.025000000000000022,0.04999999999999999,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
19,20,0.72,0.04999999999999993,0.062499999999999944,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
20,21,0.725,0.04999999999999993,0.07499999999999996,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
21,22,0.725,0.04999999999999993,0.07499999999999996,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
22,23,0.725,0.05999999999999994,0.06749999999999995,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
23,24,0.73,0.06999999999999995,0.07249999999999995,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
24,25,0.73,0.06999999999999995,0.07249999999999995,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
25,26,0.725,0.05999999999999994,0.06749999999999995,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
26,27,0.73,0.08499999999999996,0.0675,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
27,28,0.73,0.08499999999999996,0.0675,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
28,29,0.73,0.08499999999999996,0.0675,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
29,30,0.73,0.08499999999999996,0.0675,4bdzubjz,baseline_german_gender_seed8,Baseline,8,
0,1,0.535,0.09499999999999997,0.04749999999999999,j8oybidj,baseline_german_gender_seed4,Baseline,4,
1,2,0.62,0.0050000000000000044,0.0025000000000000022,j8oybidj,baseline_german_gender_seed4,Baseline,4,
2,3,0.645,0.020000000000000018,0.02250000000000002,j8oybidj,baseline_german_gender_seed4,Baseline,4,
3,4,0.68,0.02499999999999991,0.02499999999999991,j8oybidj,baseline_german_gender_seed4,Baseline,4,
4,5,0.69,0.05499999999999994,0.02749999999999997,j8oybidj,baseline_german_gender_seed4,Baseline,4,
5,6,0.7,0.05499999999999994,0.052499999999999936,j8oybidj,baseline_german_gender_seed4,Baseline,4,
6,7,0.71,0.04499999999999993,0.04749999999999999,j8oybidj,baseline_german_gender_seed4,Baseline,4,
7,8,0.7,0.02499999999999991,0.03749999999999998,j8oybidj,baseline_german_gender_seed4,Baseline,4,
8,9,0.685,0.04500000000000004,0.04749999999999999,j8oybidj,baseline_german_gender_seed4,Baseline,4,
9,10,0.695,0.025000000000000022,0.025000000000000022,j8oybidj,baseline_german_gender_seed4,Baseline,4,
10,11,0.69,0.04500000000000004,0.02250000000000002,j8oybidj,baseline_german_gender_seed4,Baseline,4,
11,12,0.69,0.04999999999999993,0.024999999999999967,j8oybidj,baseline_german_gender_seed4,Baseline,4,
12,13,0.69,0.07499999999999996,0.0625,j8oybidj,baseline_german_gender_seed4,Baseline,4,
13,14,0.685,0.06499999999999995,0.057499999999999996,j8oybidj,baseline_german_gender_seed4,Baseline,4,
14,15,0.695,0.06499999999999995,0.10749999999999998,j8oybidj,baseline_german_gender_seed4,Baseline,4,
15,16,0.68,0.11499999999999999,0.10749999999999998,j8oybidj,baseline_german_gender_seed4,Baseline,4,
16,17,0.69,0.125,0.09999999999999998,j8oybidj,baseline_german_gender_seed4,Baseline,4,
17,18,0.695,0.125,0.08749999999999997,j8oybidj,baseline_german_gender_seed4,Baseline,4,
18,19,0.695,0.125,0.08749999999999997,j8oybidj,baseline_german_gender_seed4,Baseline,4,
19,20,0.68,0.09499999999999997,0.07249999999999995,j8oybidj,baseline_german_gender_seed4,Baseline,4,
20,21,0.69,0.10499999999999998,0.06499999999999995,j8oybidj,baseline_german_gender_seed4,Baseline,4,
21,22,0.69,0.10499999999999998,0.06499999999999995,j8oybidj,baseline_german_gender_seed4,Baseline,4,
22,23,0.69,0.09499999999999997,0.04749999999999999,j8oybidj,baseline_german_gender_seed4,Baseline,4,
23,24,0.69,0.09499999999999997,0.04749999999999999,j8oybidj,baseline_german_gender_seed4,Baseline,4,
24,25,0.69,0.09499999999999997,0.04749999999999999,j8oybidj,baseline_german_gender_seed4,Baseline,4,
25,26,0.69,0.09499999999999997,0.04749999999999999,j8oybidj,baseline_german_gender_seed4,Baseline,4,
26,27,0.695,0.09499999999999997,0.06,j8oybidj,baseline_german_gender_seed4,Baseline,4,
27,28,0.695,0.09499999999999997,0.06,j8oybidj,baseline_german_gender_seed4,Baseline,4,
28,29,0.695,0.09499999999999997,0.06,j8oybidj,baseline_german_gender_seed4,Baseline,4,
29,30,0.7,0.09499999999999997,0.07250000000000001,j8oybidj,baseline_german_gender_seed4,Baseline,4,
0,1,0.415,0.0,0.0875,fpovknkc,baseline_german_gender_seed3,Baseline,3,
1,2,0.555,0.030000000000000027,0.09000000000000002,fpovknkc,baseline_german_gender_seed3,Baseline,3,
2,3,0.67,0.0,0.025000000000000022,fpovknkc,baseline_german_gender_seed3,Baseline,3,
3,4,0.68,0.04500000000000004,0.06,fpovknkc,baseline_german_gender_seed3,Baseline,3,
4,5,0.69,0.05999999999999994,0.02999999999999997,fpovknkc,baseline_german_gender_seed3,Baseline,3,
5,6,0.7,0.04499999999999993,0.022499999999999964,fpovknkc,baseline_german_gender_seed3,Baseline,3,
6,7,0.7,0.04499999999999993,0.022499999999999964,fpovknkc,baseline_german_gender_seed3,Baseline,3,
7,8,0.73,0.010000000000000009,0.08000000000000002,fpovknkc,baseline_german_gender_seed3,Baseline,3,
8,9,0.735,0.05999999999999994,0.10499999999999998,fpovknkc,baseline_german_gender_seed3,Baseline,3,
9,10,0.725,0.06499999999999995,0.09499999999999997,fpovknkc,baseline_german_gender_seed3,Baseline,3,
10,11,0.72,0.08000000000000007,0.09000000000000002,fpovknkc,baseline_german_gender_seed3,Baseline,3,
11,12,0.73,0.06000000000000005,0.06750000000000006,fpovknkc,baseline_german_gender_seed3,Baseline,3,
12,13,0.72,0.06500000000000006,0.05750000000000005,fpovknkc,baseline_german_gender_seed3,Baseline,3,
13,14,0.72,0.07999999999999996,0.07749999999999996,fpovknkc,baseline_german_gender_seed3,Baseline,3,
14,15,0.72,0.06999999999999995,0.05999999999999994,fpovknkc,baseline_german_gender_seed3,Baseline,3,
15,16,0.72,0.06999999999999995,0.05999999999999994,fpovknkc,baseline_german_gender_seed3,Baseline,3,
16,17,0.725,0.06999999999999995,0.04749999999999993,fpovknkc,baseline_german_gender_seed3,Baseline,3,
17,18,0.72,0.09499999999999997,0.05999999999999994,fpovknkc,baseline_german_gender_seed3,Baseline,3,
18,19,0.725,0.06999999999999995,0.04749999999999993,fpovknkc,baseline_german_gender_seed3,Baseline,3,
